timestamp,turbine_id,site_wind_speed,wind_speed,power_kw,rotor_speed_rpm,generator_speed_rpm,pitch_angle_deg,yaw_misalignment_deg,ambient_temp_c,nacelle_temp_c,gear_oil_temp_c,vibration_g_rms,status_code,alarm_code,grid_event
2025-01-01 00:00:00,T01,9.432,9.059,818.268,62.384,3086.145,2.0,10.46,15.276,23.901,37.149,0.776,0,,
2025-01-01 00:00:00,T02,9.432,8.988,836.525,61.851,3090.438,2.0,3.12,14.458,24.835,36.595,0.5,0,,
2025-01-01 00:00:00,T03,9.432,9.158,888.826,63.571,3182.17,2.0,0.09,16.651,32.932,35.56,0.432,0,,
2025-01-01 00:00:00,T04,9.432,8.351,670.269,59.178,2953.589,2.0,3.501,23.599,35.987,42.808,0.588,0,,
2025-01-01 00:00:00,T05,9.432,8.183,630.403,55.249,2769.225,2.0,-3.586,17.122,29.548,42.359,0.485,0,,
2025-01-01 00:10:00,T01,0.0,0.0,0.0,0.0,-6.884,2.0,2.48,28.397,36.69,52.405,0.669,0,,
2025-01-01 00:10:00,T02,0.0,0.533,0.0,5.045,244.667,2.0,-2.147,15.74,27.485,39.327,0.552,0,,
2025-01-01 00:10:00,T03,0.0,0.069,0.0,1.259,60.341,2.0,-3.041,11.859,18.872,36.201,0.573,0,,
2025-01-01 00:10:00,T04,0.0,0.752,0.0,4.674,240.037,2.0,1.978,17.909,31.123,45.085,0.825,0,,
2025-01-01 00:10:00,T05,0.0,0.0,0.0,0.0,-1.634,2.0,0.002,17.659,28.648,43.173,0.404,0,,
2025-01-01 00:20:00,T01,7.524,7.713,529.561,54.215,2709.743,2.0,2.473,17.481,30.089,33.012,0.554,0,,
2025-01-01 00:20:00,T02,7.524,7.106,413.924,51.709,2593.496,2.0,2.699,11.433,20.304,38.818,0.557,0,,
2025-01-01 00:20:00,T03,7.524,7.107,415.18,50.765,2532.644,2.0,1.279,23.07,35.787,44.292,0.219,0,,
2025-01-01 00:20:00,T04,7.524,6.779,360.525,44.993,2247.478,2.0,-0.364,14.345,29.235,34.414,0.68,0,,
2025-01-01 00:20:00,T05,7.524,6.243,281.498,42.884,2146.357,2.0,-0.977,15.799,31.575,34.605,0.489,0,,
2025-01-01 00:30:00,T01,9.091,9.427,965.932,66.418,3323.197,2.0,2.932,14.225,22.384,39.861,0.8,0,,
2025-01-01 00:30:00,T02,9.091,8.943,825.94,61.76,3104.57,2.0,-2.257,18.082,30.793,40.728,0.532,0,,
2025-01-01 00:30:00,T03,9.091,8.803,787.245,62.16,3119.519,2.0,2.508,14.705,26.68,38.671,0.529,0,,
2025-01-01 00:30:00,T04,9.091,7.998,591.262,55.117,2749.002,2.0,-1.793,18.214,28.276,39.107,0.781,0,,
2025-01-01 00:30:00,T05,9.091,8.016,595.472,56.028,2815.036,2.0,1.463,17.896,25.79,40.931,0.444,0,,
2025-01-01 00:40:00,T01,6.0,6.429,307.375,45.1,2251.144,2.0,0.878,25.483,39.891,55.972,0.795,0,,
2025-01-01 00:40:00,T02,6.0,6.036,253.073,43.894,2203.823,2.0,3.468,16.57,21.113,43.239,0.527,0,,
2025-01-01 00:40:00,T03,6.0,5.297,172.045,37.054,1840.131,2.0,-0.157,17.407,29.309,34.034,0.377,0,,
2025-01-01 00:40:00,T04,6.0,4.959,141.09,34.571,1727.382,2.0,0.785,26.136,36.705,49.395,0.628,0,,
2025-01-01 00:40:00,T05,6.0,5.79,224.575,39.716,1990.329,2.0,-1.118,20.45,29.286,47.576,0.634,0,,
2025-01-01 00:50:00,T01,3.077,2.885,0.0,19.927,998.918,2.0,-0.411,16.651,26.65,38.276,0.574,0,,
2025-01-01 00:50:00,T02,3.077,2.459,0.0,16.446,821.094,2.0,-2.077,27.431,36.833,48.398,0.439,0,,
2025-01-01 00:50:00,T03,3.077,3.624,55.067,25.574,1274.182,2.0,1.187,17.115,27.979,30.523,0.393,0,,
2025-01-01 00:50:00,T04,3.077,2.406,0.0,16.236,820.668,2.0,8.379,22.117,35.627,42.474,0.613,0,,
2025-01-01 00:50:00,T05,3.077,2.913,0.0,19.511,984.058,2.0,-1.954,16.446,30.833,40.957,0.533,0,,
2025-01-01 01:00:00,T01,2.779,2.065,0.0,12.887,638.49,2.0,-3.373,18.168,28.107,40.673,0.372,0,,
2025-01-01 01:00:00,T02,2.779,3.336,42.793,23.571,1174.142,2.0,-3.156,12.842,23.712,33.538,0.353,0,,
2025-01-01 01:00:00,T03,2.779,2.077,0.0,15.321,749.345,2.0,2.463,14.674,26.36,36.311,0.601,0,,
2025-01-01 01:00:00,T04,2.779,2.794,0.0,18.878,948.998,2.0,3.654,30.422,43.768,59.581,0.752,0,,
2025-01-01 01:00:00,T05,2.779,3.056,32.941,21.276,1077.476,2.0,2.412,26.598,33.357,40.867,0.471,0,,
2025-01-01 01:10:00,T01,9.329,9.317,925.125,64.179,3217.179,2.0,-5.093,19.68,30.262,43.371,0.597,0,,
2025-01-01 01:10:00,T02,9.329,9.498,990.803,67.382,3385.187,2.0,-1.411,15.542,25.008,43.591,0.3,0,,
2025-01-01 01:10:00,T03,9.329,8.958,832.022,63.475,3179.889,2.0,-0.155,11.138,23.714,33.707,0.552,0,,
2025-01-01 01:10:00,T04,9.329,8.365,673.669,57.898,2890.569,2.0,3.545,16.491,29.418,40.041,0.476,0,,
2025-01-01 01:10:00,T05,9.329,8.089,606.311,55.702,2785.029,2.0,4.704,22.032,32.691,38.044,0.551,0,,
2025-01-01 01:20:00,T01,2.464,2.355,0.0,17.31,870.116,2.0,6.609,21.805,26.977,40.566,0.613,0,,
2025-01-01 01:20:00,T02,2.464,2.747,0.0,20.386,1003.214,2.0,-2.028,12.099,21.023,32.921,0.516,0,,
2025-01-01 01:20:00,T03,2.464,3.117,34.745,20.409,1019.089,2.0,-4.311,18.118,25.963,36.657,0.5,0,,
2025-01-01 01:20:00,T04,2.464,2.435,0.0,19.074,949.674,2.0,-1.133,27.894,42.124,52.499,0.893,0,,
2025-01-01 01:20:00,T05,2.464,2.076,0.0,14.556,722.082,2.0,-1.195,15.815,24.19,36.97,0.433,0,,
2025-01-01 01:30:00,T01,1.351,1.206,0.0,7.724,397.763,2.0,2.766,16.27,29.463,42.996,0.695,0,,
2025-01-01 01:30:00,T02,1.351,1.467,0.0,10.415,522.053,2.0,3.047,13.152,23.906,36.236,0.535,0,,
2025-01-01 01:30:00,T03,1.351,1.548,0.0,10.704,559.177,2.0,-0.065,24.987,34.728,52.508,0.571,0,,
2025-01-01 01:30:00,T04,1.351,1.386,0.0,9.241,457.657,2.0,1.94,8.902,19.843,27.21,0.651,0,,
2025-01-01 01:30:00,T05,1.351,1.104,0.0,8.233,418.861,2.0,-3.215,5.7,9.782,27.874,0.69,0,,
2025-01-01 01:40:00,T01,8.318,7.901,564.914,55.686,2791.017,2.0,4.787,15.048,26.672,37.232,0.753,0,,
